PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 69 ADC # 10 -- 10 00 00 FF 00100000
302 A2 LDX # 02 -- 10 02 00 FF 00100000
304 85 STA zpg 02 -- 10 02 00 FF 00100000
306 E6 INC zpg 02 -- 10 02 00 FF 00100000
308 A5 LDA zpg 02 -- 11 02 00 FF 00100000
30A 00 BRK impl -- -- 11 02 00 FC 00110100
PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 A9 LDA # AA -- AA 00 00 FF 10100000
302 49 EOR # 55 -- FF 00 00 FF 10100000
304 C9 CMP # 00 -- FF 00 00 FF 00100001 
306 69 ADC # 01 -- 01 00 00 FF 00100001
308 C9 CMP # 01 -- 01 00 00 FF 00100011 
30A 00 BRK impl -- -- 01 00 00 FC 00110111
PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 A5 LDA zpg 02 -- 05 00 00 FF 00100000
302 25 AND zpg 07 -- 05 00 00 FF 00100000
304 A6 LDX zpg 03 -- 05 07 00 FF 00100000
306 86 STX zpg 08 -- 05 07 00 FF 00100000
308 E6 INC zpg 08 -- 05 07 00 FF 00100000
30A 46 LSR zpg 00 -- 05 07 00 FF 00100011
30C 00 BRK impl -- -- 05 00 00 FC 00100111
PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 AD LDA abs 09 03 05 00 00 FF 00100000
303 6D ADC abs 13 03 0A 00 00 FF 00100000
306 D0 BNE rel 02 -- 0A 00 00 FF 00100000
30A 6C JMP ind 16 03 0A 00 00 FF 00100000
311 90 BCC rel FA -- 0A 00 00 FF 00100000
30D 20 JSR abs 14 03 0A 00 00 FD 00100000
314 60 RTS impl -- -- 0A 00 00 FF 00100000
310 00 BRK impl -- -- 0A 00 00 FC 00110100
PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 AD LDA abs 00 10 01 00 00 FF 00100000
303 0D ORA abs 13 10 71 00 00 FF 00100000
306 8D STA abs 20 10 71 00 00 FF 00100000
309 6D ADC abs 06 10 7E 00 00 FF 00100000
30C 6D ADC abs 10 10 8E 00 00 FF 11100000
30F 2C BIT abs 20 10 8E 00 00 FF 01100010
312 0E ASL abs 1D 10 8E 00 00 FF 01100001
315 6E ROR abs 09 10 8E 00 00 FF 11100000
318 00 BRK impl -- -- 8E 00 00 FC 11110100

PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 A9 LDA # 01 -- 01 00 00 FF 00100000
302 85 STA zpg 00 -- 01 00 00 FF 00100000
304 18 CLC impl -- -- 01 00 00 FF 00100000
305 2A ROL A -- -- 02 00 00 FF 00100000
306 A5 LDA zpg 00 -- 01 00 00 FF 00100000
308 8D STA abs 00 80 01 00 00 FF 00100000
30B A2 LDX # 03 -- 01 03 00 FF 00100000
30D A0 LDY # 03 -- 01 03 03 FF 00100000
30F 88 DEY impl -- -- 01 03 02 FF 00100000
310 D0 BNE rel FD -- 01 03 02 FF 00100000
30F 88 DEY impl -- -- 01 03 01 FF 00100000
310 D0 BNE rel FD -- 01 03 01 FF 00100000
30F 88 DEY impl -- -- 01 03 00 FF 00100010
310 D0 BNE rel FD -- 01 03 01 FF 00100010
312 CA DEX impl -- -- 01 02 00 FF 00100000
313 D0 BNE rel F8 01 02 00 FF 00100000
30D A0 LDY # 03 -- 01 02 03 FF 00100000
310 D0 BNE rel FD -- 01 02 02 FF 00100000
30F 88 DEY impl -- -- 01 02 01 FF 00100000
310 D0 BNE rel FD -- 01 02 01 FF 00100000
30F 88 DEY impl -- -- 01 02 00 FF 00100010
310 D0 BNE rel FD -- 01 02 01 FF 00100010
312 CA DEX impl -- -- 01 01 00 FF 00100000
313 D0 BNE rel F8 01 01 00 FF 00100000
30D A0 LDY # 03 -- 01 01 03 FF 00100000
310 D0 BNE rel FD -- 01 01 02 FF 00100000
30F 88 DEY impl -- -- 01 01 01 FF 00100000
310 D0 BNE rel FD -- 01 01 01 FF 00100000
30F 88 DEY impl -- -- 01 01 00 FF 00100010
310 D0 BNE rel FD -- 01 01 01 FF 00100010
312 CA DEX impl -- -- 01 00 00 FF 00100010
313 D0 BNE rel F8 01 00 00 FF 00100010
315 4C JMP abs 05 03 01 00 00 FF 00100010
305 2A ROL A -- -- 02 00 00 FF 00100000
306 A5 LDA zpg 00 -- 01 00 00 FF 00100000

PC OPC INS AMOD OPRND AC XR YR SP NV-BDIZC
300 A9 LDA # 60 -- 60 00 00 FF 00100000
302 8D STA abs ED FD 60 00 00 FF 00100000
305 A2 LDX # 00 -- 60 00 00 FF 00100010
307 BD LDA abs,x 18 03 1A 00 00 FF 00100000
30A 20 JSR abs ED FD 1A 00 00 FD 00100000
FDED 60 RTS impl -- -- 1A 00 00 FF 00100000
30D E8 INX impl -- -- 1A 01 00 FF 00100000
30E E0 CPX # 03 -- 1A 01 00 FF 10100000
310 90 BCC rel F5 -- 1A 01 00 FF 10100000
307 BD LDA abs,x 18 03 2B 01 00 FF 00100000
30A 20 JSR abs ED FD 2B 01 00 FD 00100000
FDED 60 RTS impl -- -- 2B 01 00 FF 00100000
30D E8 INX impl -- -- 2B 02 00 FF 00100000
30E E0 CPX # 03 -- 2B 02 00 FF 10100000
310 90 BCC rel F5 -- 2B 02 00 FF 10100000
307 BD LDA abs,x 18 03 3C 02 00 FF 00100000
30A 20 JSR abs ED FD 3C 02 00 FD 00100000
FDED 60 RTS impl -- -- 3C 02 00 FF 00100000
30D E8 INX impl -- -- 3C 03 00 FF 00100000
30E E0 CPX # 03 -- 3C 03 00 FF 00100011
310 90 BCC rel F5 -- 3C 03 00 FF 00100011
312 A9 LDA # 8D -- 8D 03 00 FF 10100001
314 20 JSR abs ED FD 8D 03 00 FD 10100001
FDED 60 RTS impl -- -- 8D 03 00 FF 10100001
317 00 BRK impl -- -- 8D 03 00 FC 10110101
