Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   177554     0.00     0.00  __gnu_cxx::__normal_iterator<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > >::base() const
  0.00      0.00     0.00    88741     0.00     0.00  bool __gnu_cxx::operator!=<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > >(__gnu_cxx::__normal_iterator<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > > const&, __gnu_cxx::__normal_iterator<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > > const&)
  0.00      0.00     0.00    86947     0.00     0.00  __gnu_cxx::__normal_iterator<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > >::operator*() const
  0.00      0.00     0.00    86941     0.00     0.00  __gnu_cxx::__normal_iterator<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > >::operator++()
  0.00      0.00     0.00    59155     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00    22615     0.00     0.00  std::vector<Obstacles*, std::allocator<Obstacles*> >::operator[](unsigned long)
  0.00      0.00     0.00    15170     0.00     0.00  Game::getY()
  0.00      0.00     0.00    14305     0.00     0.00  Game::getX()
  0.00      0.00     0.00    13903     0.00     0.00  Obstacles::draw(int, int)
  0.00      0.00     0.00    12535     0.00     0.00  std::vector<Obstacles*, std::allocator<Obstacles*> >::size() const
  0.00      0.00     0.00    10291     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::base() const
  0.00      0.00     0.00     8623     0.00     0.00  GameField::obstacleAt(int, int)
  0.00      0.00     0.00     6509     0.00     0.00  std::vector<ActorInfo, std::allocator<ActorInfo> >::operator[](unsigned long)
  0.00      0.00     0.00     6081     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.00     0.00     6081     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.00     0.00     6081     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.00     0.00     6081     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.00     0.00     5865     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.00     0.00     5520     0.00     0.00  std::default_delete<Drawable>&& std::forward<std::default_delete<Drawable> >(std::remove_reference<std::default_delete<Drawable> >::type&)
  0.00      0.00     0.00     5355     0.00     0.00  Drawable*& std::forward<Drawable*&>(std::remove_reference<Drawable*&>::type&)
  0.00      0.00     0.00     5024     0.00     0.00  bool __gnu_cxx::operator!=<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > >(__gnu_cxx::__normal_iterator<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&, __gnu_cxx::__normal_iterator<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&)
  0.00      0.00     0.00     4700     0.00     0.00  ActorInfo::~ActorInfo()
  0.00      0.00     0.00     4610     0.00     0.00  ActorInfo::ActorInfo(ActorInfo const&)
  0.00      0.00     0.00     4461     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator*() const
  0.00      0.00     0.00     4428     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.00     0.00     4428     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
