Player,Place,Kills,Shots,Hits,AP,Radar,MaxHealth,RemainingHealth,MaxAmmo
EasyEight,1,5,13,11,1,4,3,2,6
Target,2,0,0,0,1,4,3,0,6
SimpleAI,3,1,4,4,1,4,3,0,6
Target,4,0,0,0,1,4,3,0,6
SimpleAI,5,1,2,4,1,4,3,0,6
Target,6,0,0,0,1,4,3,0,6
SimpleAI,7,0,2,2,1,4,3,0,6
SimpleAI,8,0,1,1,1,4,3,0,6
EasyEight,1,5,13,11,1,4,3,2,6
Target,2,0,0,0,1,4,3,0,6
SimpleAI,3,1,4,4,1,4,3,0,6
Target,4,0,0,0,1,4,3,0,6
SimpleAI,5,1,2,4,1,4,3,0,6
Target,6,0,0,0,1,4,3,0,6
SimpleAI,7,0,2,2,1,4,3,0,6
SimpleAI,8,0,1,1,1,4,3,0,6
SimpleAI,1,3,5,5,1,4,3,3,6
EasyEight,2,2,6,6,1,4,3,0,6
Target,3,0,0,0,1,4,3,0,6
SimpleAI,4,2,5,5,1,4,3,0,6
SimpleAI,5,0,2,2,1,4,3,0,6
Target,6,0,0,0,1,4,3,0,6
SimpleAI,7,0,2,2,1,4,3,0,6
Target,8,0,0,0,1,4,3,0,6
SimpleAI,1,2,4,4,1,4,3,3,6
Target,2,0,0,0,1,4,3,0,6
EasyEight,3,2,6,4,1,4,3,0,6
SimpleAI,4,2,9,5,1,4,3,0,6
SimpleAI,5,1,6,6,1,4,3,0,6
SimpleAI,6,0,2,2,1,4,3,0,6
Target,7,0,0,0,1,4,3,0,6
Target,8,0,0,0,1,4,3,0,6
SimpleAI,1,3,7,7,1,4,3,2,6
SimpleAI,2,2,6,5,1,4,3,0,6
SimpleAI,3,1,3,3,1,4,3,0,6
Target,4,0,0,0,1,4,3,0,6
Target,5,0,0,0,1,4,3,0,6
EasyEight,6,0,4,5,1,4,3,0,6
SimpleAI,7,1,2,2,1,4,3,0,6
Target,8,0,0,0,1,4,3,0,6
EasyEight,1,5,17,11,1,4,3,3,6
Target,2,0,0,0,1,4,3,0,6
Target,3,0,0,0,1,4,3,0,6
SimpleAI,4,1,3,3,1,4,3,0,6
SimpleAI,5,1,3,3,1,4,3,0,6
Target,6,0,0,0,1,4,3,0,6
SimpleAI,7,0,2,2,1,4,3,0,6
SimpleAI,8,0,2,2,1,4,3,0,6
EasyEight,1,3,6,6,1,4,3,2,6
Target,2,0,0,0,1,4,3,0,6
Target,3,0,0,0,1,4,3,0,6
SimpleAI,4,1,3,3,1,4,3,0,6
SimpleAI,5,2,6,6,1,4,3,0,6
SimpleAI,6,0,4,4,1,4,3,0,6
Target,7,0,0,0,1,4,3,0,6
SimpleAI,8,0,0,0,1,4,3,0,6
SimpleAI,1,1,3,3,1,4,3,1,6
EasyEight,2,2,8,6,1,4,3,0,6
